DrugA,DrugB,SMILES_A,SMILES_B,LD50_A_mg/kg,LD50_B_mg/kg,Mixture_LD50_mg/kg,MW_A,MW_B,LD50_A_neglog,LD50_B_neglog,Mixture_neglog
Butyl Cellosolve,Formalin,CCCCOCCO,C=O,2146.76,2016.5,1535.832,118.17599999999999,30.026,1.740745791372431,1.1728992539194776,1.6834803567253265
Butyl Cellosolve,Isophorone,CCCCOCCO,CC1=CC(=O)CC(C)(C)C1,2146.76,2104.44,2760.3125000000005,118.17599999999999,138.20999999999998,1.740745791372431,1.8174029189459762,1.6669060589911235
Butyl Cellosolve,Morpholine,CCCCOCCO,C1COCCN1,2146.76,1631.34,1673.2384999999997,118.17599999999999,87.122,1.740745791372431,1.7275833515664596,1.7877968740346417
Butyl Cellosolve,Nitrobenzene,CCCCOCCO,[O-][N+](=O)c1ccccc1,2146.76,599.5,1021.086,118.17599999999999,123.11099999999996,1.740745791372431,2.3125076715555126,2.072441606398547
Butyl Cellosolve,Phenyl Cellosolve,CCCCOCCO,c1ccccc1OCCO,2146.76,3614.56,5528.034000000001,118.17599999999999,138.166,1.740745791372431,1.582345746423963,1.3652190672391553
Butyl Cellosolve,PEG 400,CCCCOCCO,OCCOCCOCCOCCOCCOCCOCCOCCO,2146.76,45232.8,3061.24,118.17599999999999,370.4390000000002,1.740745791372431,0.9132632308859374,1.9020394201446318
Butyl Cellosolve,Propylene glycol,CCCCOCCO,CC(O)CO,2146.76,45894.8,3367.275,118.17599999999999,76.095,1.740745791372431,0.21959263974080165,1.4600993940491773
Butyl Cellosolve,Propylene oxide,CCCCOCCO,CC1CO1,2146.76,627.07,1537.3530000000003,118.17599999999999,58.08,1.740745791372431,1.9667105837403391,1.7583403145679641
Butyl Cellosolve,Tergitol XD,CCCCOCCO,CCCCCCCCCCCCCOCCOCCOCCO,2146.76,5999.6,4502.79,118.17599999999999,332.5250000000001,1.740745791372431,1.7437020056790038,1.699376833088633
Butyl Cellosolve,Tetrachloroethylene,CCCCOCCO,ClC(Cl)=C(Cl)Cl,2146.76,12976.0,2987.154,118.17599999999999,165.834,1.740745791372431,1.1065327393989566,1.6770460233358602
Butyl Cellosolve,Toluene,CCCCOCCO,Cc1ccccc1,2146.76,6762.6,2320.9280000000003,118.17599999999999,92.14099999999999,1.740745791372431,1.1343392211439922,1.65618271467354
Butyl Cellosolve,Ucon 50HB260,CCCCOCCO,CC(C)OCC(C)OCC(C)O,2146.76,5596.500000000001,3649.264,118.17599999999999,176.256,1.740745791372431,1.4982274018082817,1.6057497305371613
Butyl Cellosolve,Ucon LB250,CCCCOCCO,CC(C)OCC(C)OCC(C)O,2146.76,10605.0,4086.512,118.17599999999999,176.256,1.740745791372431,1.2206332370522115,1.5566022348001505
Butyl ether,Carbon tetrachloride,CCCCOCCCC,ClC(Cl)(Cl)Cl,10390.4,4909.52,3546.432,130.231,153.823,1.0980821084263572,1.4959822435581474,1.6025792766385145
Butyl ether,Diethanolamine,CCCCOCCCC,OCCNCCO,10390.4,877.6,1528.8115,130.231,105.137,1.0980821084263572,2.07845896604771,1.8863634804458087
Butyl ether,Dioxane,CCCCOCCCC,C1COCCO1,10390.4,6683.509999999999,9491.754,130.231,88.106,1.0980821084263572,1.1200008825933447,1.060750869062134
